tick,y,velX,velY,velZ,onGround,isFall
33346,133.1212968405392,0.036974273837752675,-0.4448259643949201,0.2754753910960154,false,false
33347,132.6764708761443,0.05407103133197771,-0.5143294551172826,0.26262571523071615,false,false
33348,132.162141421027,0.07010820255284143,-0.5824428773508716,0.25007257186193993,false,false
33349,131.57969854367613,0.08516059257780788,-0.6491940324389494,0.23773733071682895,false,false
33350,131.0,0.09926287500022199,-0.0784000015258789,0.22561485238342846,true,false
33351,131.0,0.12135429609271689,-0.0784000015258789,0.14616682499246117,true,false
33352,131.0,0.13698411211027847,-0.0784000015258789,0.08582240745048553,true,false
33353,131.0,0.1387975826109154,-0.0784000015258789,0.016173254214525274,true,false
33354,131.0,0.11083451708550499,-0.0784000015258789,-0.052891250608613695,true,true
33355,131.0,0.08121121320191835,-0.0784000015258789,-0.09677454221874615,true,false
33356,131.0,0.06503688740278961,-0.0784000015258789,-0.12073482222092795,true,false
33357,131.0,0.056205704490700205,-0.0784000015258789,-0.13381713662166442,true,false
33358,131.0,0.051383878060631584,-0.0784000015258789,-0.1409600811141383,true,false
33359,131.0,0.04875116052401706,-0.0784000015258789,-0.1448601292600299,true,false
33360,131.0,0.04731369658206032,-0.0784000015258789,-0.14698955579502518,true,false
33361,131.0,0.04751604282041876,-0.0784000015258789,-0.14784342856899438,true,false
33362,131.0,0.08573760944453951,-0.0784000015258789,-0.11626611726593283,true,false
33363,131.0,0.09789432897453756,-0.0784000015258789,-0.11069700887208689,true,false
33364,131.0,0.091181873304049,-0.0784000015258789,-0.11887841039038892,true,false
33365,131.0,0.07641724876736425,-0.0784000015258789,-0.12916795732266118,true,false
33366,131.0,0.059110371085967235,-0.0784000015258789,-0.1378782131591176,true,false
33367,131.0,0.04243471903812989,-0.0784000015258789,-0.1440958744645487,true,false
33368,131.41999998688698,-0.02307893419880776,0.33319999363422365,-0.2392549733109158,false,false
33369,131.7531999805212,-0.03892331516889082,0.24813599859094576,-0.23316922804241472,false,false
33370,132.00133597911216,-0.05415037475125154,0.16477328182606651,-0.22664002867890135,false,false
33371,132.1661092609382,-0.05225630234757593,0.08307781780646721,-0.22923700804557098,false,false
33372,132.24918707874468,-0.05043125736716862,0.0030162615090425808,-0.2316131758922892,false,false
